news_source,liberal_score,keyword
ABC News,52,ABC
Al Jazeera America,28,Al Jazeera
BBC,69,BBC
Bloomberg,18,Bloomberg
Breitbart,0,Breitbart
BuzzFeed,6,BuzzFeed
CBS News,51,CBS
CNN,56,CNN
Daily Kos,10,Daily Kos
Drudge Report,1,Drudge Report
Economist,30,Economist
Fox News,6,Fox
Guardian,21,Guardian
Huffington Post,38,Huffington
MSNBC,52,MSN
Mother Jones,25,Mother Jones
NBC News,56,NBC
NPR,72,NPR
New York Times,62,New York Times
New Yorker,32,New Yorker
PBS,71,PBS
Politico,21,Politico
Slate,14,Slate
TheBlaze,1,Blaze
ThinkProgress,10,Think Progress
USA TODAY,29,USA Today
Wall Street Journal,35,Wall Street Journal
Washington Post,48,Washington Post
Yahoo News,17,Yahoo
